index	SequenceA	SequenceB
618	AJ131592.1_3-116	X03904.1_2-116
619	X52298.1_2-113	L12403.1_3-117
620	Z11818.1_3-116	X05524.1_5-117
621	X00081.1_2-117	X03407.1_5927-6048
622	M11544.1_4-118	X02731.1_3-119
623	X05057.1_3-119	X03701.1_3-119
624	X06578.1_1-116	L24488.1_3-117
625	D13616.1_3-119	L27163.1_1-119
626	X55254.1_3-119	M34763.1_3-117
627	M11536.1_2-116	Z50077.1_4-121
628	M34770.1_1-114	U67537.1_493-607
629	L27343.1_3-116	Z11822.1_1-116
630	AF008220.1_5185-5300	M35166.1_2-110
631	Z50074.1_3-119	X02258.1_3-117
632	D13617.1_2-117	M16531.1_2-121
633	M16170.1_3-119	M36152.1_2-117
634	M16533.1_3-118	L08503.1_3-117
635	X02630.1_3-115	Z50054.1_4-120
636	X59479.1_518-634	X02252.1_3-118
637	X06833.1_1-115	V01420.1_2-120
638	X13663.1_1-117	X02637.1_3-120
639	X06577.1_4-117	AE004502.1_3179-3294
640	M16169.1_3-119	M34761.1_2-116
641	Z50078.1_3-119	K02687.1_1-115
642	X06103.1_1-119	X65710.1_35-152
643	M27961.1_79-196	X01620.1_1-118
644	K03169.1_1-118	D10530.1_1-120
645	M10358.1_2-120	X01543.1_1-118
646	M58384.1_1-118	X06836.1_1-119
647	X06996.1_1-118	M36306.1_1-119
648	K02354.1_1-118	M58368.1_1-118
649	X01518.1_1-119	Z49275.1_645-762
650	X00991.1_1-118	M35578.1_1-118
651	X05535.1_1-118	X83208.1_1-119
652	M36312.1_2-120	M10817.1_1-119
653	X13037.1_1-119	V01120.1_2-120
654	X58912.1_148-266	X00866.1_1-119
655	AJ131587.1_3-115	L37451.1_4-118
656	M35167.1_2-111	X06098.1_1-107
657	AF051554.1_130-236	M35170.1_2-108
658	Z11821.1_3-116	X16191.1_4-119
659	M34772.1_1-114	L37445.1_4-118
660	M11538.1_4-116	K02688.1_1-115
661	M76576.1_4-118	X01590.1_5-121
662	X02044.1_4-118	X02024.1_3-117
663	M34771.1_2-116	Z11816.1_1-116
664	X02025.1_1-116	Z50056.1_3-119
665	M16172.1_3-119	X02251.1_3-118
666	AF051555.1_130-236	AF170176.1_1092-1207
667	X02023.1_1-116	M33887.1_1-111
668	Z50060.1_3-119	X03903.1_4-117
669	S43413.1_98-213	X15180.1_3-118
670	S39188.1_3-117	M11541.1_4-119
671	D13622.1_3-119	AE000559.1_152-269
672	M35563.1_5-120	D13620.1_3-119
673	X16194.1_2-114	U28505.1_6807-6921
674	M35568.1_2-115	Z35330.1_6121-6235
675	X68666.1_1-122	M10433.1_1-119
676	S73542.1_3-119	X02248.1_3-118
677	X02258.1_3-117	X08003.1_3-119
678	X02630.1_3-115	X15180.1_3-118
679	X06995.1_1-119	M19136.1_148-266
680	X06833.1_1-115	J01012.1_1-119
681	X00931.1_3-117	M60936.1_3-119
682	M16177.1_4-120	M10816.1_1-117
683	X06996.1_1-118	X00071.1_1-118
684	J01889.1_1-119	AF331021.1_183-301
685	M24954.1_1-119	X00864.1_1-119
686	K02343.1_1-119	M58384.1_1-118
687	M58385.1_5-116	X05534.1_1-118
688	M36309.1_1-120	K02349.1_1-119
689	X01000.1_1-121	X05541.1_1-121
690	X00687.1_1-119	D00058.1_1-118
691	K03168.1_1-118	X01002.1_1-119
692	M58383.1_4-115	X00190.1_1-118
693	X71804.1_109-227	X00867.1_1-119
694	M36308.1_1-119	J01012.1_1-119
695	K03161.1_1-118	M34003.1_489-607
696	X05057.1_3-119	X72588.1_6990-7093
697	AF088897.1_10366-10481	AJ251080.1_1-117
698	X55254.1_3-119	U01070.1_190-289
699	AJ131595.1_3-115	Z11820.1_5-112
700	X00757.1_2-119	X02249.1_3-117
701	M76569.1_4-118	M35567.1_3-116
702	AJ131591.1_3-116	M34762.1_3-116
703	M76388.1_6142-6258	X02044.1_4-118
704	M16205.1_4-122	M35168.1_2-110
705	M76571.1_4-117	Z50065.1_3-120
706	X02235.1_3-118	X03902.1_1-114
707	M34764.1_3-118	M33889.1_1-117
708	Z11824.1_3-116	X75601.1_91-203
709	X61066.1_168-278	AF272626.1_2982-3085
710	X14441.1_5-123	Z50737.1_3-119
711	M76575.1_4-118	D13622.1_3-119
712	X57791.1_153-262	M35167.1_2-111
713	D00062.1_1-121	X05520.1_1-114
714	X06576.1_4-117	Z50061.1_3-119
715	M76577.1_4-118	X02629.1_3-115
716	X00932.1_3-118	X06575.1_4-117
717	M11546.1_4-118	X01555.1_3-118
718	M11535.1_2-117	X55265.1_3-119
719	AJ131598.1_3-114	X01589.1_1-117
720	M59339.1_3-119	X07692.1_700-821
721	X01557.1_3-118	M34771.1_2-116
722	X02236.1_3-119	M27245.1_5773-5889
723	Z49275.1_645-762	X06849.1_1-119
724	M58368.1_1-118	M35573.1_1-119
725	AF114035.1_6057-6173	X02241.1_3-119
726	X01003.1_1-119	X54477.1_2-120
727	X83208.1_1-119	X06848.1_1-119
728	M10434.1_1-119	K02350.1_1-119
729	AJ131588.1_3-114	X02248.1_3-118
730	X00069.1_1-118	V00647.1_1-119
731	X05059.1_1-119	AJ132198.1_1-116
732	M10436.1_2-120	X00992.1_1-119
733	AF101250.1_1-119	K01537.1_51-169
734	X01534.1_1-119	M35572.1_1-119
735	X13037.1_1-119	M10202.1_3-117
736	X04305.1_1-118	D10530.1_1-120
737	AF237335.1_140-258	X00997.1_1-119
738	M10850.1_361-479	X06851.1_1-118
739	D10535.1_1-121	M36315.1_3-121
740	X00074.1_1-118	AJ417699.1_1-119
741	M36313.1_2-120	X13035.1_1-119
742	M36316.1_2-120	X01570.1_1-119
743	M36310.1_2-120	V01120.1_2-120
744	X05532.1_1-118	J01888.1_1-119
745	X06834.1_1-119	M36311.1_2-120
746	X05041.1_3-118	X02026.1_1-117
747	X02025.1_1-116	M35565.1_3-118
748	AF088897.1_10366-10481	X55268.1_3-119
749	X02713.1_1-117	X02039.1_3-118
750	AF116561.1_5902-6018	M76576.1_4-118
751	Z50067.1_4-120	M34773.1_1-114
752	Z11819.1_3-116	AJ131583.1_3-115
753	X05528.1_1-121	M28975.1_65-183
754	U67537.1_493-607	Z50074.1_3-119
755	X79704.1_3397-3511	AJ131590.1_3-114
756	X02251.1_3-118	M11540.1_3-116
757	M33893.1_2-111	Z50054.1_4-120
758	M35165.1_2-110	X02250.1_3-118
759	X02027.1_1-117	U09230.1_4482-4597
760	M16533.1_3-118	X02731.1_3-119
761	U26684.1_296-411	X05525.1_1-116
762	M34760.1_2-117	Z11825.1_3-116
763	M11541.1_4-119	Z11823.1_1-116
764	L27162.1_2-122	X59479.1_518-634
765	D90255.1_422-538	M34764.1_3-118
766	M33887.1_1-111	M59340.1_3-119
767	X15245.1_36-152	X00081.1_2-117
768	M10435.1_2-120	X68666.1_1-122
769	L08503.1_3-117	Z50060.1_3-119
770	M35568.1_2-115	Y00159.1_2-117
771	X02628.1_2-114	X02235.1_3-118
772	X05524.1_5-117	M34775.1_1-115
773	K02682.1_2-118	X02631.1_2-115
774	X12624.1_61-178	X56490.1_1-119
775	K02348.1_1-119	X00378.1_2-120
776	X65710.1_35-152	M16074.1_307-425
777	M10817.1_1-119	AJ419791.1_210-328
778	M34910.1_5-126	M26976.1_105-223
779	X01617.1_1-119	X01004.1_1-119
780	X00867.1_1-119	X00991.1_1-118
781	X52047.1_2-120	X71804.1_109-227
782	X01535.1_1-119	D10526.1_1-121
783	D10528.1_1-121	M36312.1_2-120
784	M19136.1_148-266	M10358.1_2-120
785	X05533.1_1-118	X05233.1_1-119
786	L12402.1_3-117	X55255.1_4-120
787	L37447.1_4-116	M11716.1_2-115
788	X06578.1_1-116	X15179.1_3-118
789	M34776.1_2-116	X00501.1_7-121
790	X61068.1_253-364	X05052.1_3-119
791	M76573.1_4-118	Z11818.1_3-116
792	X06576.1_4-117	M10816.1_1-117
793	X06577.1_4-117	Z50069.1_4-120
794	D13621.1_3-119	Z11824.1_3-116
795	M35166.1_2-110	X02238.1_3-118
796	K02683.1_2-118	U67518.1_78-192
797	L37445.1_4-118	X06575.1_4-117
798	AJ131585.1_3-115	M36156.1_2-116
799	X55260.1_3-119	X13663.1_1-117
800	L27170.1_1-120	X62863.1_2-121
801	K02362.1_1-121	X05527.1_1-120
802	AJ131589.1_3-115	X55252.1_1-115
803	X00998.1_1-119	X06839.1_3-124
804	AJ251080.1_1-117	M11545.1_4-118
805	AB001721.1_2735-2851	X02627.1_4-118
806	D10527.1_1-120	M35574.1_1-119
807	M59335.1_3-119	K01389.1_140-255
808	X01484.1_2-120	X57691.1_1-116
809	AF072692.1_240-358	M35395.1_1-119
810	X01550.1_1-119	M10432.1_1-119
811	X00068.1_1-119	K02354.1_1-118
812	M16170.1_3-119	X06688.1_3-118
813	X00994.1_1-119	AF331021.1_183-301
814	K01050.1_1-121	X00993.1_1-119
815	X00020.1_1-119	M18171.1_1-119
816	X06836.1_1-119	J01872.1_1-119
817	X06837.1_1-119	X00475.1_121-239
818	M10437.1_2-120	X52048.1_2-120
819	X01518.1_1-119	M36308.1_1-119
820	M24954.1_1-119	M36309.1_1-120
821	M28193.1_1-119	X00574.1_1-118
822	M25202.1_1-119	X03911.1_1-119
823	X06844.1_1-119	X52051.1_2-120
824	J01893.1_5-114	X73890.1_1-118
825	X04585.1_3-117	X52298.1_2-113
826	L24488.1_3-117	L37446.1_4-117
827	X02128.1_24-139	X62864.1_3-123
828	X00932.1_3-118	M34770.1_1-114
829	X02246.1_3-118	X75615.1_8-118
830	AJ131592.1_3-116	X02255.1_3-118
831	M16177.1_4-120	X03902.1_1-114
832	X00930.1_3-118	M34765.1_1-114
833	L27343.1_3-116	Z50078.1_3-119
834	Z50056.1_3-119	X06098.1_1-107
835	Z11816.1_1-116	X16194.1_2-114
836	L27169.1_1-121	Z50737.1_3-119
837	M36152.1_2-117	Z50065.1_3-120
838	M16174.1_3-119	M36154.1_1-117
839	AF051554.1_130-236	X02243.1_3-118
840	L27236.1_1-122	X55263.1_3-119
841	M36155.1_1-117	Z50062.1_3-119
842	X02729.1_3021-3135	L27167.1_1-122
843	X55253.1_3-119	X53853.1_5621-5735
844	V01347.1_3-119	X02254.1_3-118
845	AF114033.1_6078-6194	M34758.1_2-116
846	M18170.1_1-119	X12622.1_1-118
847	X13040.1_1-118	X01536.1_1-119
848	X67494.1_1-118	K02349.1_1-119
849	AB015590.1_1-119	K03169.1_1-118
850	M35578.1_1-118	X06835.1_1-119
851	M27961.1_79-196	M28984.1_1-119
852	M36314.1_2-120	X00996.1_1-119
853	X01551.1_1-119	J01009.1_607-725
854	X16225.1_825-943	M36306.1_1-119
855	X06104.1_1-119	X06103.1_1-119
856	X58912.1_148-266	X03567.1_108-226
857	M33888.1_3-119	M35169.1_2-109
858	M76580.1_4-118	AJ235270.1_260875-260989
859	M34759.1_7-109	AF001265.1_6033-6149
860	X01501.1_2-116	M33889.1_1-117
861	Z50055.1_3-119	M35164.1_2-109
862	X15246.1_11-127	V00646.1_1-107
863	X01950.1_1-117	X02022.1_3-118
864	X52302.1_2-117	X16191.1_4-119
865	X13005.1_1-116	M16172.1_3-119
866	M34772.1_1-114	X02013.1_1-116
867	M34774.1_2-116	AJ131600.1_3-115
868	S73542.1_3-119	X15329.1_3-123
869	Z35330.1_6121-6235	M55343.1_5620-5736
870	Z50059.1_3-119	X02028.1_1-117
871	X00067.1_1-119	K02344.1_1-118
872	X62860.1_3-123	L27166.1_1-122
873	AJ131586.1_3-115	AF134704.1_5562-5676
874	J01851.1_1-119	M25201.1_1-119
875	X13034.1_1-119	D00059.1_1-118
876	AJ312082.1_1-119	X06852.1_1-118
877	X01544.1_1-118	M35576.1_1-118
878	X02242.1_7-110	M35569.1_4-116
879	M34769.1_10-105	D13616.1_3-119
880	X02024.1_3-117	AF051555.1_130-236
881	M35567.1_3-116	X05081.1_5-114
882	M36157.1_2-116	D13618.1_3-119
883	M34762.1_3-116	X02239.1_3-118
884	Z50073.1_3-119	L12404.1_3-117
885	X03905.1_4-117	X16193.1_4-119
886	M11715.1_3-118	M76572.1_4-118
887	M76569.1_4-118	X52297.1_1-116
888	X05520.1_1-114	X55267.1_3-119
889	X13662.1_1-116	M32519.1_4-118
890	M36159.1_2-116	AF114034.1_6052-6168
891	D13619.1_3-119	M33894.1_2-109
892	Z50736.1_3-119	X01590.1_5-121
893	X02023.1_1-116	M11537.1_2-117
894	X02259.1_3-117	L12403.1_3-117
895	M58416.1_2-116	X06687.1_3-118
896	M16173.1_3-119	M16531.1_2-121
897	AB035926.1_5989-6104	AJ131595.1_3-115
898	X52050.1_1-119	X06995.1_1-119
899	X62861.1_3-124	X14441.1_5-123
900	D10533.1_1-120	X05234.1_1-119
901	X05535.1_1-118	M10438.1_2-120
902	X00864.1_1-119	X00692.1_1-119
903	U18089.1_3485-3600	X05517.1_3-118
904	X06843.1_1-119	V01420.1_2-120
905	D00076.1_1-119	M36307.1_1-119
906	K03160.1_1-118	V00476.1_1-119
907	S39188.1_3-117	L37449.1_4-118
908	M33886.1_1-116	X02030.1_3-120
909	D13620.1_3-119	X13006.1_1-116
910	D00061.1_1-120	X00999.1_1-121
911	X62859.1_3-124	M36187.1_5-126
912	M25115.1_1-122	X01620.1_1-118
913	X16192.1_3-117	Z50057.1_2-118
914	X12884.1_1-117	K02688.1_1-115
915	AF008220.1_5185-5300	AJ131597.1_3-113
916	AF114036.1_6058-6174	K03155.1_22-137
917	M11536.1_2-116	AJ131587.1_3-115
918	X52303.1_2-118	X58874.1_548-664
919	D16558.1_6715-6832	X00022.1_1-119
920	M76571.1_4-117	X03903.1_4-117
921	M76579.1_4-118	X03904.1_2-116
922	Z11820.1_5-112	X52301.1_1-117
923	M35310.1_1-117	X55261.1_3-119
924	AJ131601.1_3-115	X02253.1_3-118
925	X05053.1_3-118	M11544.1_4-118
926	X13007.1_1-116	X15181.1_3-118
927	X02036.1_1-119	X02031.1_1-118
928	M32450.1_1-119	X16851.1_1-119
929	M35563.1_5-120	AJ131599.1_3-114
930	X62862.1_2-123	X72495.1_5075-5190
931	M33890.1_5-120	X55259.1_3-117
932	AJ131602.1_3-115	X02264.1_3-118
933	X02247.1_3-118	M10364.1_2-118
934	U28505.1_6807-6921	Z11822.1_1-116
935	Z11821.1_3-116	AF170176.1_1092-1207
936	D13615.1_3-119	D13617.1_2-117
937	AJ131593.1_3-115	AE004502.1_3179-3294
938	X00073.1_1-117	M58387.1_5-112
939	Z50058.1_3-119	M16169.1_3-119
940	X06854.1_5-111	AJ243001.2_1-116
941	M76574.1_4-118	M34768.1_3-117
942	M11538.1_4-116	M35170.1_2-108
943	X15126.1_3-120	X55264.1_4-122
944	X06694.1_9-124	M34763.1_3-117
945	M34761.1_2-116	X02629.1_3-115
946	AF454951.1_1084-1198	M11543.1_1-115
947	M59346.1_3-119	Z50076.1_4-120
948	X62865.1_3-123	AF034619.1_5584-5700
949	M34761.1_2-116	X16194.1_2-114
950	X02255.1_3-118	AJ131583.1_3-115
951	M11716.1_2-115	M11715.1_3-118
952	M35572.1_1-119	K02344.1_1-118
953	V00648.1_1-119	M35394.1_1-119
954	X05533.1_1-118	X00073.1_1-117
955	AJ312082.1_1-119	D00058.1_1-118
956	X01543.1_1-118	X00071.1_1-118
957	X00070.1_1-118	X01543.1_1-118
958	X01544.1_1-118	M36306.1_1-119
959	X01950.1_1-117	X15245.1_36-152
960	X12886.1_1-117	K03155.1_22-137
961	X55264.1_4-122	D13618.1_3-119
962	M34764.1_3-118	AJ131601.1_3-115
963	X03902.1_1-114	L12402.1_3-117
964	AJ131602.1_3-115	X02251.1_3-118
965	X00992.1_1-119	V00647.1_1-119
966	X56490.1_1-119	X52049.1_2-120
967	X06854.1_5-111	X58912.1_148-266
968	X05059.1_1-119	M10202.1_3-117
969	X55697.1_1-119	M10437.1_2-120
970	X67494.1_1-118	X73890.1_1-118
971	X00691.1_1-119	X00867.1_1-119
972	M25201.1_1-119	X12622.1_1-118
973	M34759.1_7-109	X02631.1_2-115
974	X02025.1_1-116	M11544.1_4-118
975	Z50078.1_3-119	X15329.1_3-123
976	X03904.1_2-116	M34774.1_2-116
977	Z50076.1_4-120	D13615.1_3-119
978	AF001265.1_6033-6149	M33890.1_5-120
979	X06575.1_4-117	M34770.1_1-114
980	M35565.1_3-118	X05517.1_3-118
981	X02235.1_3-118	K01389.1_140-255
982	X00930.1_3-118	AJ131598.1_3-114
983	X02243.1_3-118	AJ131597.1_3-113
984	M59340.1_3-119	X52302.1_2-117
985	K02349.1_1-119	X57691.1_1-116
986	M36307.1_1-119	M36310.1_2-120
987	X04305.1_1-118	M10850.1_361-479
988	Z35330.1_6121-6235	M34769.1_10-105
989	X05081.1_5-114	X02248.1_3-118
990	X68666.1_1-122	X05527.1_1-120
991	X01501.1_2-116	X06576.1_4-117
992	M36152.1_2-117	X02027.1_1-117
993	X02030.1_3-120	M35566.1_3-117
994	X55265.1_3-119	Z50073.1_3-119
995	M34763.1_3-117	M11535.1_2-117
996	X52301.1_1-117	D13620.1_3-119
997	X02247.1_3-118	AJ131585.1_3-115
998	AF134704.1_5562-5676	AJ131599.1_3-114
999	K02348.1_1-119	AJ243001.2_1-116
1000	X01004.1_1-119	X01536.1_1-119
1001	X03905.1_4-117	M76575.1_4-118
1002	Z11824.1_3-116	X75615.1_8-118
1003	M76571.1_4-117	X02044.1_4-118
1004	X61068.1_253-364	Z11823.1_1-116
1005	M36157.1_2-116	AB001721.1_2735-2851
1006	AF116561.1_5902-6018	X52297.1_1-116
1007	X05052.1_3-119	X02259.1_3-117
1008	X06687.1_3-118	U09230.1_4482-4597
1009	X01003.1_1-119	V00648.1_1-119
1010	X13034.1_1-119	M24954.1_1-119
1011	M36311.1_2-120	X73589.1_1-118
1012	K02350.1_1-119	X12624.1_61-178
1013	X01619.1_1-119	AF072692.1_240-358
1014	X02627.1_4-118	M76569.1_4-118
1015	M59346.1_3-119	Z50077.1_4-121
1016	M76577.1_4-118	M34775.1_1-115
1017	X02713.1_1-117	X13005.1_1-116
1018	X55261.1_3-119	M59335.1_3-119
1019	AF114034.1_6052-6168	Z50056.1_3-119
1020	X62865.1_3-123	X62862.1_2-123
1021	M16176.1_4-120	M59345.1_3-119
1022	X05053.1_3-118	X02253.1_3-118
1023	M10817.1_1-119	V00476.1_1-119
1024	M34910.1_5-126	X62861.1_3-124
1025	X16851.1_1-119	K02354.1_1-118
1026	M76580.1_4-118	X53853.1_5621-5735
1027	X12884.1_1-117	M36156.1_2-116
1028	X55255.1_4-120	Z50054.1_4-120
1029	M16533.1_3-118	X00931.1_3-117
1030	Z50067.1_4-120	Z50060.1_3-119
1031	M34776.1_2-116	AF454951.1_1084-1198
1032	M34771.1_2-116	X06577.1_4-117
1033	Z50061.1_3-119	D13621.1_3-119
1034	X06835.1_1-119	M27961.1_79-196
1035	M35394.1_1-119	X05233.1_1-119
1036	X06834.1_1-119	X00190.1_1-118
1037	AF114033.1_6078-6194	M16174.1_3-119
1038	X55260.1_3-119	Z50058.1_3-119
1039	AJ131593.1_3-115	AJ131588.1_3-114
1040	X52298.1_2-113	M33893.1_2-111
1041	X15181.1_3-118	X02260.1_3-117
1042	X02128.1_24-139	L27170.1_1-120
1043	X06578.1_1-116	AF008220.1_5185-5300
1044	AJ131600.1_3-115	X02628.1_2-114
1045	X03911.1_1-119	AB015590.1_1-119
1046	D00076.1_1-119	M35395.1_1-119
1047	X00022.1_1-119	X01550.1_1-119
1048	X01570.1_1-119	X00069.1_1-118
1049	X06837.1_1-119	X83208.1_1-119
1050	X00997.1_1-119	J01889.1_1-119
1051	X15246.1_11-127	X02026.1_1-117
1052	AF051555.1_130-236	AF088897.1_10366-10481
1053	M27245.1_5773-5889	X55251.1_3-116
1054	D13616.1_3-119	Z50057.1_2-118
1055	M59339.1_3-119	X15126.1_3-120
1056	M11537.1_2-117	U26684.1_296-411
1057	X08003.1_3-119	X05526.1_2-115
1058	Z50066.1_3-119	S73542.1_3-119
1059	M76576.1_4-118	M76573.1_4-118
1060	M16177.1_4-120	Z50059.1_3-119
1061	X01555.1_3-118	X02249.1_3-117
1062	Z11816.1_1-116	AJ251080.1_1-117
1063	M16074.1_307-425	X00991.1_1-118
1064	X06836.1_1-119	X01002.1_1-119
1065	M34772.1_1-114	M11546.1_4-118
1066	M34768.1_3-117	M11545.1_4-118
1067	M36159.1_2-116	X13006.1_1-116
1068	X55252.1_1-115	M33889.1_1-117
1069	X75601.1_91-203	M16170.1_3-119
1070	M11536.1_2-116	X02022.1_3-118
1071	AE004502.1_3179-3294	X02237.1_3-118
1072	X02252.1_3-118	X05519.1_1-116
1073	L08503.1_3-117	U28505.1_6807-6921
1074	X06688.1_3-118	X02039.1_3-118
1075	AJ131587.1_3-115	AJ131595.1_3-115
1076	Z50737.1_3-119	K02683.1_2-118
1077	X00501.1_7-121	X02254.1_3-118
1078	Z50075.1_3-119	X59479.1_518-634
1079	AF170176.1_1092-1207	X02241.1_3-119
1080	X03701.1_3-119	X02250.1_3-118
1081	D13622.1_3-119	M76388.1_6142-6258
1082	X01557.1_3-118	X02235.1_3-118
1083	X55253.1_3-119	D13615.1_3-119
1084	AF114035.1_6057-6173	K02682.1_2-118
1085	X04309.1_2-120	X00020.1_1-119
1086	X00993.1_1-119	AJ417699.1_1-119
1087	X55253.1_3-119	X05516.1_3-119
1088	X02260.1_3-117	X02254.1_3-118
1089	D13618.1_3-119	M16177.1_4-120
1090	Z50062.1_3-119	Z50055.1_3-119
1091	X02236.1_3-119	X00931.1_3-117
1092	X02259.1_3-117	X16193.1_4-119
1093	X05057.1_3-119	X55269.1_3-119
1094	V01347.1_3-119	M16172.1_3-119
1095	D13619.1_3-119	X55261.1_3-119
1096	AJ131586.1_3-115	M35569.1_4-116
1097	Z50075.1_3-119	Z50056.1_3-119
1098	Z11823.1_1-116	AF008220.1_5185-5300
1099	M11535.1_2-117	X15179.1_3-118
1100	M11537.1_2-117	X06694.1_9-124
1101	X55697.1_1-119	X00377.1_2-120
1102	K02354.1_1-118	X06836.1_1-119
1103	X00991.1_1-118	X05233.1_1-119
1104	X00997.1_1-119	M24954.1_1-119
1105	M16169.1_3-119	X55254.1_3-119
1106	AF116561.1_5902-6018	M16173.1_3-119
1107	X02252.1_3-118	X02258.1_3-117
1108	X05524.1_5-117	X16194.1_2-114
1109	X55267.1_3-119	X75601.1_91-203
1110	X02241.1_3-119	X15180.1_3-118
1111	X13037.1_1-119	X04305.1_1-118
1112	X06835.1_1-119	AJ312082.1_1-119
1113	X01534.1_1-119	M35395.1_1-119
1114	K02349.1_1-119	X06837.1_1-119
1115	X01003.1_1-119	X00993.1_1-119
1116	M35569.1_4-116	X02629.1_3-115
1117	Z50058.1_3-119	Z50078.1_3-119
1118	Z50737.1_3-119	D13621.1_3-119
1119	Z50054.1_4-120	Z50060.1_3-119
1120	AJ131600.1_3-115	AJ131598.1_3-114
1121	X72588.1_6990-7093	X03407.1_5927-6048
1122	K01389.1_140-255	X05525.1_1-116
1123	X13662.1_1-116	X02013.1_1-116
1124	M16170.1_3-119	X55263.1_3-119
1125	M34772.1_1-114	M34774.1_2-116
1126	V01347.1_3-119	D13616.1_3-119
1127	X12624.1_61-178	V00648.1_1-119
1128	X02023.1_1-116	K03155.1_22-137
1129	Z11821.1_3-116	M36157.1_2-116
1130	M16174.1_3-119	Z50061.1_3-119
1131	M35563.1_5-120	X05517.1_3-118
1132	M10850.1_361-479	M10817.1_1-119
1133	J01872.1_1-119	J01893.1_5-114
1134	Z50736.1_3-119	M55343.1_5620-5736
1135	X00996.1_1-119	X00020.1_1-119
1136	X01535.1_1-119	X00998.1_1-119
1137	AJ132198.1_1-116	X13035.1_1-119
1138	X16191.1_4-119	AF088897.1_10366-10481
1139	M16172.1_3-119	Z50066.1_3-119
1140	X05057.1_3-119	M33888.1_3-119
1141	K01050.1_1-121	X16634.1_937-1057
1142	D13620.1_3-119	Z50055.1_3-119
1143	X15126.1_3-120	Z50065.1_3-120
1144	M34759.1_7-109	M34764.1_3-118
1145	M60936.1_3-119	X55269.1_3-119
1146	X56490.1_1-119	M10433.1_1-119
1147	X06852.1_1-118	X01570.1_1-119
1148	M10434.1_1-119	X05059.1_1-119
1149	X00069.1_1-118	X00071.1_1-118
1150	X00994.1_1-119	X03911.1_1-119
1151	M34769.1_10-105	M34768.1_3-117
1152	Z50057.1_2-118	Z50077.1_4-121
1153	X02248.1_3-118	X02022.1_3-118
1154	X00932.1_3-118	X02255.1_3-118
1155	X02251.1_3-118	X02239.1_3-118
1156	X13040.1_1-118	X06844.1_1-119
1157	X02246.1_3-118	X06688.1_3-118
1158	X55265.1_3-119	M27245.1_5773-5889
1159	X59479.1_518-634	AF114033.1_6078-6194
1160	J01012.1_1-119	J01009.1_607-725
1161	X00068.1_1-119	M35572.1_1-119
1162	K03160.1_1-118	X00073.1_1-117
1163	U48228.1_7-166	U13369.1_6624-6776
1164	U21939.1_68-218	AF306774.1_466-634
1165	X52949.1_857-993	Y07974.1_75-229
1166	X53361.2_1206-1368	X80346.1_67-220
1167	AF306774.1_466-634	AF196778.1_2-154
1168	X52949.1_857-993	D16558.1_2710-2862
1169	AL049755.2_30863-31016	X00601.1_3997-4154
1170	X01533.1_5-152	AF158725.1_345-497
1171	U10409.1_2025-2178	U48228.1_7-166
1172	U13369.1_6624-6776	Y00055.1_4327-4494
1173	X53538.1_2090-2241	X03680.1_3159-3308
1174	L78065.1_3758-3910	AY029385.1_986-1138
1175	AF093014.1_662-809	X15589.1_256-410
1176	M36008.1_959-1112	AF223570.1_244-389
1177	X99212.1_685-824	AF422961.1_176-329
1178	X54512.1_4422-4569	M63701.1_247-415
1179	AF158724.1_274-427	M14649.1_2015-2169
1180	AJ229062.1_241-389	U21939.1_68-218
1181	L07796.1_2-156	AF306774.1_466-634
1182	X99212.1_685-824	AJ229062.1_241-389
1183	AF158724.1_274-427	X15589.1_256-410
1184	AF093014.1_662-809	AF444327.1_152-305
1185	Y11511.1_115-268	U13369.1_6624-6776
1186	Y00055.1_4327-4494	AL049755.2_30863-31016
1187	Z32848.1_2558-2712	M63701.1_247-415
1188	AF223571.1_210-358	M86760.1_218-371
1189	X01533.1_5-152	L25635.1_211-360
1190	AF307619.1_287-442	X53538.1_2090-2241
1191	AF403508.1_235-389	AF158725.1_345-497
1192	Y07978.1_48-201	X66325.1_2369-2523
1193	AF223066.1_5881-6030	Y07974.1_75-229
1194	Y07976.1_124-271	X80212.2_2104-2256
1195	AB021684.1_14108-14260	M36008.1_959-1112
1196	AF468917.1_611-763	AF196778.1_2-154
1197	X90410.1_15-165	X54512.1_4422-4569
1198	AF223570.1_244-389	AF422961.1_176-329
1199	X75430.1_2186-2339	D16558.1_2710-2862
1200	U35394.1_2008-2158	AY029385.1_986-1138
1201	X54512.1_4422-4569	Z32848.1_2558-2712
1202	AB011808.1_289-442	M14649.1_2015-2169
1203	AF026388.1_2852-3006	X60705.1_112-265
1204	Y07978.1_48-201	AB021684.1_14108-14260
1205	AY029385.1_986-1138	AF223570.1_244-389
1206	X75430.1_2186-2339	AF319429.1_172-325
1207	AF196778.1_2-154	AJ229062.1_241-389
1208	L25635.1_211-360	M14649.1_2015-2169
1209	AF026388.1_2852-3006	AF403508.1_235-389
1210	AF223066.1_5881-6030	U10409.1_2025-2178
1211	AF444327.1_152-305	X90410.1_15-165
1212	L78065.1_3758-3910	X99212.1_685-824
1213	AF169230.1_225-380	AB011808.1_289-442
1214	U13369.1_6624-6776	X53538.1_2090-2241
1215	M36008.1_959-1112	M21017.1_2722-2844
1216	L07796.1_2-156	Y07974.1_75-229
1217	Y11511.1_115-268	D16558.1_2710-2862
1218	AF307619.1_287-442	AL049755.2_30863-31016
1219	X80212.2_2104-2256	AF422961.1_176-329
